Month,Albd,AirTemp,LSTday,LSTNight,PCP,WS,RH,SW,LW,SH,LH,SCA% 
1/1/2003,0.499428241,-5.692200943,4.637893635,-5.151224916,40.23990318,0.974771533,42.0990191,74.03472312,-62.35083769,-7.815999439,-7.414243101,61.91956383
2/1/2003,0.691866198,-5.810176573,3.058990787,-6.512508361,202.5715173,0.903936553,59.0128742,54.05797956,-45.00538509,-3.691282994,-6.028129002,85.54298925
3/1/2003,0.597724451,-1.9819419,10.55121441,-0.986137124,141.9434742,0.967574187,55.89366884,92.88919899,-58.6110474,-11.45398326,-18.16768533,71.71882856
4/1/2003,0.45525592,5.066802614,21.62520938,6.625540691,140.6182072,0.82075761,50.01838023,153.4622883,-75.26631457,-20.22775168,-40.90077639,52.44686958
5/1/2003,0.353235322,7.615933331,25.13538526,7.783996656,99.5319876,0.819099242,50.08906667,200.778539,-92.66869146,-36.80284469,-52.9902726,37.42770408
6/1/2003,0.241002849,14.76539369,31.71854271,14.46179766,46.8132136,0.636961235,44.2460541,246.9407543,-106.6735419,-47.23761127,-64.81889436,21.3838938
7/1/2003,0.173547821,17.62090342,29.73198074,15.21682274,115.9469398,0.554163202,53.98167236,230.5629451,-91.93887437,-47.87772372,-75.42632247,4.165020121
8/1/2003,0.158621185,16.35741191,28.20432998,13.77945234,101.0981049,0.476453023,54.53172982,217.8322101,-95.71662864,-48.11571384,-69.07048012,0.642886112
9/1/2003,0.16719915,13.0136134,25.07363484,10.69764214,77.78354447,0.355390508,51.32976968,193.5351643,-97.10459548,-40.71219643,-56.86209399,3.466810598
10/1/2003,0.197111123,6.598376589,20.43237856,5.924202899,22.01457871,0.499474423,36.55983518,170.1276387,-105.6690764,-30.77096409,-37.0102028,9.93058816
11/1/2003,0.4505101,-2.089545674,12.39159548,-0.056613712,62.15395578,0.900012308,35.72557454,89.51932747,-73.07299079,-11.1963266,-13.22269725,49.90956068
12/1/2003,0.524309552,-5.650410323,3.359451424,-5.011764214,59.46561698,1.032990727,55.5444263,64.65880687,-56.74955092,-6.290231355,-7.245080234,62.49281235
1/1/2004,0.659836412,-6.724448336,0.429120603,-7.252382943,101.9439395,0.958276832,60.50962144,46.30113317,-42.07669816,-3.762148712,-4.810207414,79.85379172
2/1/2004,0.685990688,-5.716417461,7.03269263,-2.854673913,75.75587069,1.224600248,41.55572261,63.60992529,-55.09590218,-1.906824529,-7.855317305,85.40936358
3/1/2004,0.472758839,2.424313732,19.29241206,4.160117057,45.93262783,0.957556857,42.95482881,134.8008432,-79.40500184,-17.20440236,-25.78431739,56.95785939
4/1/2004,0.369046921,6.621424129,24.22663735,6.522019231,124.7875173,0.69276052,54.6166191,166.3337414,-79.36627688,-30.26814756,-42.72596474,37.99830751
5/1/2004,0.294059134,10.52086978,29.97926857,11.56018952,51.36566539,0.710109809,43.32627538,226.3658752,-102.5777901,-41.73304872,-63.95317372,26.59557757
6/1/2004,0.205891064,14.67617211,30.52286851,13.42251672,59.4255761,0.538596425,47.45213451,253.5314568,-110.4875977,-56.34039417,-68.14807635,12.36121905
7/1/2004,0.166181541,16.45618896,29.934933,13.96671823,105.0281906,0.551556803,52.49457538,243.5297856,-104.6391879,-57.34760229,-71.72194088,1.887254205
8/1/2004,0.158592108,16.04251013,28.88079146,13.60279822,93.98429105,0.493578731,50.33447471,224.4770497,-100.9398762,-50.50856466,-68.95097891,0.605339708
9/1/2004,0.153721781,13.3998179,26.86592127,11.35916388,53.32265139,0.336044977,43.99261759,202.8557055,-104.9954077,-42.9291266,-55.40146265,1.446635063
10/1/2004,0.280706148,4.135373719,17.5921608,3.565602007,76.35821049,0.604027826,47.10498693,139.9195662,-88.25745779,-27.31162359,-31.11323643,22.72209311
11/1/2004,0.282833998,0.967951971,13.23065885,0.913361204,32.13032958,0.76596092,45.95254322,115.4181906,-82.93458275,-18.22383712,-17.41775039,24.32265379
12/1/2004,0.517285135,-3.691205321,4.163450586,-3.789590301,98.94937923,0.917697269,53.1292603,63.22819079,-54.29466198,-6.027062057,-7.850571375,59.3385175
1/1/2005,0.765744121,-9.784366583,-2.603400335,-9.815710702,78.9949258,1.154193611,56.3166603,34.77384137,-41.5114943,1.198260636,-1.93265792,96.02660201
2/1/2005,0.802793377,-7.168609115,-0.196390285,-9.764260033,212.789092,0.835876648,71.29554891,33.70786399,-32.66011441,-0.515992204,-1.865273331,98.80502124
