iter	Logloss
0	0.6828178876
1	0.6744860314
2	0.6629034345
3	0.6513903576
4	0.6414027665
5	0.6338196993
6	0.6258166416
7	0.6208743389
8	0.6127842922
9	0.6064141038
10	0.6005107744
11	0.592538012
12	0.5835917914
13	0.5799447991
14	0.5761550455
15	0.5692053276
16	0.5626412469
17	0.5586982531
18	0.5537748723
19	0.5496790892
20	0.5410192561
21	0.5375676187
22	0.5308967732
23	0.5261965797
24	0.5226544512
25	0.5188999418
26	0.5138646316
27	0.5119389022
28	0.5089868645
29	0.5035364628
30	0.4994646697
31	0.4939370413
32	0.4900337087
33	0.486495788
34	0.4825124225
35	0.4785495094
36	0.4741163512
37	0.4712089139
38	0.4685770756
39	0.465374117
40	0.4617709163
41	0.4593149569
42	0.45761539
43	0.4541110364
44	0.4512777973
45	0.4495814104
46	0.4485158421
47	0.4450128868
48	0.4408698308
49	0.4389049797
