iter	Passed	Remaining
0	0	34
1	0	29
2	1	27
3	1	25
4	1	25
5	2	24
6	2	25
7	3	26
8	3	25
9	4	24
10	4	23
11	4	23
12	5	22
13	5	21
14	5	21
15	6	20
16	6	20
17	6	19
18	7	19
19	7	18
20	7	18
21	8	17
22	8	17
23	8	17
24	9	16
25	9	16
26	9	15
27	10	15
28	10	15
29	11	14
30	11	14
31	11	13
32	12	13
33	12	13
34	12	12
35	13	12
36	14	13
37	15	13
38	16	12
39	16	12
40	16	12
41	17	11
42	18	11
43	18	11
44	19	10
45	19	10
46	20	10
47	21	9
48	21	9
49	21	8
50	22	8
51	22	7
52	23	7
53	23	6
54	23	6
55	24	6
56	24	5
57	25	5
58	26	4
59	26	4
60	28	4
61	28	3
62	29	3
63	29	2
64	30	2
65	31	1
66	32	1
67	33	0
68	33	0
69	34	0
